
 num     #instances         #bytes  class name
 462:             5            160  javax.swing.UIManager$LookAndFeelInfo
 463:             2            160  sun.java2d.loops.DrawGlyphListAA$General
 464:             5            160  com.sun.java.swing.plaf.windows.WindowsComboBoxUI$WindowsComboBoxEditor
 465:             2            160  sun.java2d.loops.DrawGlyphList$General
 466:             5            160  com.sun.java.swing.plaf.windows.WindowsComboBoxUI$3
 467:             5            160  sun.font.FileFont$FileFontDisposer
 468:             2            160  java.util.LinkedHashMap
 469:             5            160  com.sun.java.swing.plaf.windows.WindowsLookAndFeel$XPColorValue$XPColorValueKey
 470:             5            160  com.sun.java.swing.plaf.windows.WindowsLookAndFeel$XPColorValue
 471:             1            152  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 472:             1            152  de.schmiereck.noiseComp.swingView.appController.AppController
 473:             1            152  [Lcom.sun.java.swing.plaf.windows.TMSchema$Control;
 474:             6            144  java.util.regex.Pattern$CharPropertyNames$2
 475:             3            144  javax.swing.text.DefaultEditorKit$EndWordAction
 476:             6            144  javax.swing.plaf.basic.BasicSplitPaneDivider$DividerLayout
 477:             1            144  de.schmiereck.noiseComp.swingView.inputEdit.InputEditModel
 478:             1            144  sun.font.AttributeValues
 479:             2            144  de.schmiereck.noiseComp.generator.shape.FaderGenerator
 480:             3            144  javax.swing.text.DefaultEditorKit$BeginParagraphAction
 481:             2            144  java.lang.ThreadGroup
 482:             1            144  de.schmiereck.noiseComp.soundBuffer.SoundBufferManager
 483:             6            144  sun.java2d.pipe.TextRenderer
 484:             3            144  javax.swing.text.DefaultEditorKit$EndParagraphAction
 485:             3            144  javax.swing.plaf.basic.BasicBorders$RadioButtonBorder
 486:             2            144  java.io.BufferedWriter
 487:             1            144  sun.misc.Launcher$ExtClassLoader
 488:             6            144  sun.java2d.pipe.DuctusShapeRenderer
 489:             2            144  java.util.EnumMap
 490:             1            144  com.sun.media.sound.MixerSourceLine
 491:             3            144  javax.swing.text.DefaultEditorKit$BeginLineAction
 492:             6            144  javax.swing.plaf.basic.BasicSplitPaneDivider$MouseHandler
 493:             3            144  javax.swing.text.DefaultEditorKit$EndLineAction
 494:             3            144  javax.swing.text.DefaultEditorKit$BeginWordAction
 495:             6            144  javax.swing.plaf.basic.BasicSplitPaneUI$Handler
